tt/I,layer/I,phimin/D,phimax/D,zmin_cm/D,zmax_cm/D
32,13,-0.054725,0.843215,86.3283,107.5845
32,14,-0.058240,0.850163,101.9923,107.5845
33,5,0.588613,1.766906,9.7659,55.7748
33,6,0.622239,1.725261,21.8339,80.5262
33,7,0.667167,1.681608,37.7090,107.0782
33,8,0.719880,1.637122,51.8728,114.4315
33,9,0.762492,1.582945,62.0538,114.4315
33,10,0.712823,1.622270,76.2247,114.4315
33,11,0.719255,1.635933,62.5692,107.5845
33,12,0.728999,1.626144,74.5890,107.5845
33,13,0.726865,1.620204,86.3283,107.5845
33,14,0.688395,1.632966,102.0699,107.5845
34,5,1.374236,2.552083,10.3442,56.3530
34,6,1.417402,2.518774,22.5567,80.6708
34,7,1.453614,2.469794,37.7090,106.9336
34,8,1.503139,2.423384,51.8728,114.4315
34,9,1.559355,2.371026,62.0538,114.4315
34,10,1.518222,2.412597,76.2247,114.4315
34,11,1.499927,2.428523,62.5692,107.5845
34,12,1.517452,2.423470,74.5890,107.5845
34,13,1.522848,2.413593,86.3283,107.5845
34,14,1.514565,2.410329,102.0167,107.5845
35,5,2.159431,3.337703,10.3442,56.2084
35,6,2.190280,3.294692,22.2675,80.5262
35,7,2.231613,3.258634,37.7090,107.2227
35,8,2.288743,3.206375,51.8728,114.4315
35,9,2.346793,3.144216,62.0538,114.4315
35,10,2.305131,3.141509,76.2247,114.4315
35,11,2.280133,3.214723,62.5692,107.5845
35,12,2.308581,3.182471,74.5890,107.5845
35,13,2.301971,3.141590,86.3283,107.5845
35,14,2.301469,3.141464,101.9918,107.5845
36,5,2.946158,4.121975,9.4768,56.1362
36,6,2.986809,4.090150,21.9784,80.1889
36,7,3.019392,4.050353,37.4198,106.7890
36,8,3.074203,3.995631,51.8728,114.4315
36,9,3.136131,3.936793,62.0538,114.4315
36,10,-3.141551,-2.307034,76.2247,114.4315
36,11,3.070415,3.995591,62.5692,107.5845
36,12,3.099865,3.977277,74.5890,107.5845
36,13,3.140950,3.984306,86.3283,107.5845
36,14,-3.141386,-2.304152,101.9931,107.5845
37,5,-2.551645,-1.375407,9.6214,56.4976
37,6,-2.517469,-1.410818,21.8339,81.3936
37,7,-2.469426,-1.446093,37.5644,107.3673
37,8,-2.423317,-1.500208,51.8728,114.4315
37,9,-2.364020,-1.548168,62.0538,114.4315
37,10,-2.412927,-1.518140,76.2247,114.4315
37,11,-2.425600,-1.500935,62.5692,107.5845
37,12,-2.408995,-1.519172,74.5890,107.5845
37,13,-2.433735,-1.483384,86.3283,107.5845
37,14,-2.410083,-1.513733,102.0196,107.5845
38,5,-1.766231,-0.590386,10.1273,55.7748
38,6,-1.724715,-0.625138,21.6893,80.2371
38,7,-1.682703,-0.668564,37.8535,107.5118
38,8,-1.637718,-0.718476,51.8728,114.4315
38,9,-1.582627,-0.774573,67.0788,114.4315
38,10,-1.625861,-0.731926,76.2247,114.4315
38,11,-1.637474,-0.717862,62.5692,107.5845
38,12,-1.626442,-0.733397,74.5890,107.5845
38,13,-1.623681,-0.732268,86.3283,107.5845
38,14,-1.630167,-0.733272,102.0181,107.5845
